ConstraintName,ParentSchema,ParentTable,ChildSchema,ChildTable,ParentColumn,ChildColumn,ColumnOrdinal
FK_SalesOrderHeader_ShipMethod_ShipMethodID,Purchasing,ShipMethod,Sales,SalesOrderHeader,ShipMethodID,ShipMethodID,1
FK_ProductVendor_Vendor_BusinessEntityID,Purchasing,Vendor,Purchasing,ProductVendor,BusinessEntityID,BusinessEntityID,1
FK_PurchaseOrderHeader_Vendor_VendorID,Purchasing,Vendor,Purchasing,PurchaseOrderHeader,BusinessEntityID,VendorID,1
FK_PersonCreditCard_CreditCard_CreditCardID,Sales,CreditCard,Sales,PersonCreditCard,CreditCardID,CreditCardID,1
FK_SalesOrderHeader_CreditCard_CreditCardID,Sales,CreditCard,Sales,SalesOrderHeader,CreditCardID,CreditCardID,1
FK_CountryRegionCurrency_Currency_CurrencyCode,Sales,Currency,Sales,CountryRegionCurrency,CurrencyCode,CurrencyCode,1
FK_CurrencyRate_Currency_FromCurrencyCode,Sales,Currency,Sales,CurrencyRate,CurrencyCode,FromCurrencyCode,1
FK_CurrencyRate_Currency_ToCurrencyCode,Sales,Currency,Sales,CurrencyRate,CurrencyCode,ToCurrencyCode,1
FK_SalesOrderHeader_CurrencyRate_CurrencyRateID,Sales,CurrencyRate,Sales,SalesOrderHeader,CurrencyRateID,CurrencyRateID,1
FK_SalesOrderHeader_Customer_CustomerID,Sales,Customer,Sales,SalesOrderHeader,CustomerID,CustomerID,1
FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID,Sales,SalesOrderHeader,Sales,SalesOrderDetail,SalesOrderID,SalesOrderID,1
FK_SalesOrderHeaderSalesReason_SalesOrderHeader_SalesOrderID,Sales,SalesOrderHeader,Sales,SalesOrderHeaderSalesReason,SalesOrderID,SalesOrderID,1
FK_SalesOrderHeader_SalesPerson_SalesPersonID,Sales,SalesPerson,Sales,SalesOrderHeader,BusinessEntityID,SalesPersonID,1
FK_SalesPersonQuotaHistory_SalesPerson_BusinessEntityID,Sales,SalesPerson,Sales,SalesPersonQuotaHistory,BusinessEntityID,BusinessEntityID,1
FK_SalesTerritoryHistory_SalesPerson_BusinessEntityID,Sales,SalesPerson,Sales,SalesTerritoryHistory,BusinessEntityID,BusinessEntityID,1
FK_Store_SalesPerson_SalesPersonID,Sales,SalesPerson,Sales,Store,BusinessEntityID,SalesPersonID,1
FK_SalesOrderHeaderSalesReason_SalesReason_SalesReasonID,Sales,SalesReason,Sales,SalesOrderHeaderSalesReason,SalesReasonID,SalesReasonID,1
FK_Customer_SalesTerritory_TerritoryID,Sales,SalesTerritory,Sales,Customer,TerritoryID,TerritoryID,1
FK_SalesOrderHeader_SalesTerritory_TerritoryID,Sales,SalesTerritory,Sales,SalesOrderHeader,TerritoryID,TerritoryID,1
FK_SalesPerson_SalesTerritory_TerritoryID,Sales,SalesTerritory,Sales,SalesPerson,TerritoryID,TerritoryID,1
FK_SalesTerritoryHistory_SalesTerritory_TerritoryID,Sales,SalesTerritory,Sales,SalesTerritoryHistory,TerritoryID,TerritoryID,1
FK_StateProvince_SalesTerritory_TerritoryID,Sales,SalesTerritory,Person,StateProvince,TerritoryID,TerritoryID,1
FK_SpecialOfferProduct_SpecialOffer_SpecialOfferID,Sales,SpecialOffer,Sales,SpecialOfferProduct,SpecialOfferID,SpecialOfferID,1
FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID,Sales,SpecialOfferProduct,Sales,SalesOrderDetail,SpecialOfferID,SpecialOfferID,1
FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID,Sales,SpecialOfferProduct,Sales,SalesOrderDetail,ProductID,ProductID,1
FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID,Sales,SpecialOfferProduct,Sales,SalesOrderDetail,ProductID,ProductID,2
FK_Customer_Store_StoreID,Sales,Store,Sales,Customer,BusinessEntityID,StoreID,1
